"g_id","g_link"
"222090","https://store.steampowered.com/app/222090/Rocksmith__The_Clash__Should_I_Stay_or_Should_I_Go/?snr=1_241_4_casual_104_1148"
"222091","https://store.steampowered.com/app/222091/Rocksmith__The_Clash__Guns_of_Brixton/?snr=1_241_4_casual_104_1482"
"222093","https://store.steampowered.com/app/222093/Rocksmith__Kansas__Carry_On_Wayward_Son/?snr=1_241_4_casual_104_1086"
"222094","https://store.steampowered.com/app/222094/Rocksmith__Judas_Priest__Youve_Got_Another_Thing_Comin/?snr=1_241_4_casual_104_1211"
"222095","https://store.steampowered.com/app/222095/Rocksmith__Ram_Jam__Black_Betty/?snr=1_241_4_casual_104_1334"
"222096","https://store.steampowered.com/app/222096/Rocksmith__Incubus__Wish_You_Were_Here/?snr=1_241_4_casual_104_1446"
"222097","https://store.steampowered.com/app/222097/Rocksmith__Incubus__Love_Hurts/?snr=1_241_4_casual_104_1478"
"222098","https://store.steampowered.com/app/222098/Rocksmith__Incubus__Anna_Molly/?snr=1_241_4_casual_104_1463"
"222100","https://store.steampowered.com/app/222100/Rocksmith__Blue_Oyster_Cult__Burnin_for_You/?snr=1_241_4_casual_104_1377"
"222101","https://store.steampowered.com/app/222101/Rocksmith__Violent_Femmes__Blister_in_the_Sun/?snr=1_241_4_casual_104_1213"
"222102","https://store.steampowered.com/app/222102/Rocksmith__Living_Colour__Cult_of_Personality/?snr=1_241_4_casual_104_1137"
"222103","https://store.steampowered.com/app/222103/Rocksmith__The_Cure__Love_Song/?snr=1_241_4_casual_104_1374"
"222104","https://store.steampowered.com/app/222104/Rocksmith__The_Cure__Just_Like_Heaven/?snr=1_241_4_casual_104_1372"
"222105","https://store.steampowered.com/app/222105/Rocksmith__The_Cure__The_End_of_the_World/?snr=1_241_4_casual_104_1512"
